Index,tweet,Affect_Dimension,target
0,Best evening adult drink w/chocolate #satisfaction is @Nestle DARK hot chocolate + chili powder + cinnamon + whiskey #delicious 鈽曪笍,joy,0
1,"A SPELLBINDING performance by @DebsNewbold. Electric physicality and sheer awe. A pleasure to watch, thank you. #ueafly",joy,0
2,@LogitechUK Been there done that,fear,0
3,I love #tattoos but seriously #justtattooofus that's just #revenge &amp,anger,0
4,Well. Its been like two weeks and I still feel cut up by this friendship failing. I have to constantly reassure myself I did what I could and that this is best for both of us but I'm just dying inside constantly thinking its all my fault,Depression,1
5,Looking for good news today...not finding any on Twitter. Bummer. 馃槩 #depressing #badnews,sadness,1
6,"I have depression. So, If I think ""I have to"" instead of ""I want to"" then my mind is not healthy and I take a break.   ",Depression,1
7,Vin Diesel is pretty cool. I have seen him in that movie Riddick and Pitch Black too. He must work out or something. #smiles,joy,0
8,I wanna die,Depression,1
9,"@Liz_Hanbury Oh no, jumper on again, has it turned colder? 馃槦 Have a terrific day馃檵馃徏馃尭馃尲馃尰馃挄馃挄",sadness,0
10,Our loved ones would openly share the length and breadth of their mental health issues with us if they knew for sure that we wouldn't turn it around and make it about us.,Depression,1
11,It's so sad when you talk so highly of someone then they end up disappointing u and making u look like a pendeja,sadness,1
12,@S1dharthM @Asli_Jacqueline @foxstarhindi @krishdk @rajnidimoru Looks fun! 馃榾 cant wait to watch!,joy,0
13,"All I want to do is sleep. My dreams are bizarre, but still an escape from my problems. Is this #anxiety, #depression, or both? #tiredoflife",sadness,1
14,Good morning family to all of you who took the time to wish mom a HAPPY BIRTHDAY Thank you from my 鉂� love you be blessed,joy,0
15,Really thought I was gonna have a family with you now it's ruined and you were the only person I wanted to give my kids too馃挃,Depression,1
16,Jay Z came out of retirement just to drop the album of the year on y'all...let that sink in. Have a great day y'all 馃檶馃徔,sadness,0
17,All fucking day,Depression,1
18,@dp_srk_rk It's going 3 only. He has berdych tomorrow. Nothing to worry. Easiest draw,sadness,0
19,About to watch the eclipse in astral valley with the longest time in totality across the country  #thankful,joy,0
20,"Today(2/9/22)was rough, the morning was okay but the afternoon and evening were really rough, lots of anxiety. Right now I鈥檓 focused on calming myself with medicine and techniques that were given to me.     ",Depression,1
21,@khizthigh Lol idk really :S khair good luck,sadness,0
22,Who wants hot snapping?\nAdd me : rchar28 \n #nudes #snapsex  #snapchat #sexting #cam #hot #trade #pics #swap #horny #chaud #pussy,anger,0
23,Today is your day... \nSoar your spirit. \nUnfurl your joy!\nWishing you all a bright week!\n #BloodyCrayonsSpecialScreening,joy,0
24,Real happiness comes from the person who you truly love the most.. 馃槏 #071117,joy,0
25,First counselling session today. Quite nervous but hopeful that it may do me some good.,Depression,1
26,"is, as usual, Twitter is harassing people with  issues. It's interesting Twitter has a rule not to encourage  yet that is what they do everytime they cut off  people from the community",Depression,1
27,"@AGavrielatos Where I am, extras are being handed out everyday and classes are being merged. Seeing staff come to work exhausted, unwell and  to avoid a guilt trip from executive.  is needed to help this dire situation. Students suffer and teachers break. ",Depression,1
28,MY DAD'S  BROKE in 97 NOW I EXIST SO I CAN PAY BILLS... AND HAVE CRIPPLING,Depression,1
29,Don't let anyone steal your joy! #rejoice #victory #overcomer,joy,0
30,@seanhannity Why are we still talking about the elections? It's like we're stuck in October 2016 but we still get older.,fear,0
31,"And yet again, @MarliePacker sets the back row bar high... Tackling and support play outstanding. Congrats on your 50th cap! #inspiring",joy,0
32,"No Smoking Day 2022.  We challenge you to stop! 馃槈  The first step is always the hardest, but don't be defeated. You can do it, you can make positive changes! . . . .        ",Depression,1
33,I hope my eyes were camera that records all happy moments+,joy,0
34,When @Jaclynhill and @JeffreeStar  snap chats get you through the day w/ their words of inspiration #blessed 鉂わ笍馃挄,joy,0
35,@jaden_lindner If I acquire a deadly scowl like that I'm going to be pretty happy to be old,anger,0
36,seeing sope perform otsukare always makes me happy no matter how much of a bad day I have,fear,0
37,"My life has been a #crazy, #painful, #awful journey full of #disappointment, #harassment &amp; #abuse",sadness,1
38,Kill me......,Depression,1
39,"Seriously, why do people punish children for 'sass'? Wit should be rewarded, not discouraged!",fear,0
40,No one loves me.,Depression,1
41,#31DaysOfJoy Laughter brings me so much joy! It's good for the 鉂わ笍. #laughter #laughterishealing #laughterisgoodforthesoul,joy,0
42,"Why is everyday great but still hard to get through, I have no right to be sad but for some reason I still am   ",Depression,1
43,#Bible reading today shows us the Lord has done #great things for us &amp,joy,0
44,"Just seeing school idols fills me with energy, makes me want to cheer for them and makes me also want to sing and dance together with them!",joy,0
45,@cteeezy Lmfao look at it sober . 7102017 says 7102017 backwards lol and that was the date yesterday,sadness,0
46,@Tayylittle Mmm..is there any other way to start the day? 鈽曪笍 #yummy,joy,0
47,"About to say fuck Satan if he ain't coming, Did me the first time with his icon.  I dont even like Satan, I just wanna collect them all ya know? I'm just that type of person. :')   ",Depression,1
48,"Because so much 鈥渞ubble鈥� has happened, and because so much 鈥渞ubble鈥� has accumulated to wreak havoc in the lives of those who love God, God is ready to do something about it to change what was to what He wants it to be!        ",Depression,1
49,Don't let depression best you,Depression,1
50,and now I got tickets to Hamlet #yay #happy #londontheatre,joy,0
51,oh crap...I lost $100 on poker games yesterday :(,sadness,1
52,@Malala Happy day to you Malala 馃憦馃徎馃槂I seem to share a birthday with you #inspiring #women #education,joy,0
53,#Two legged stool sample... #humor #serious #comedy,sadness,0
54,When lil bro refills your water bottle cause it's a desert when I sleep... #cheering #lazysis,joy,0
55,Don't ever frown upon someone chasing a dream. Remember you were once chasing one too. HUMILITY ......,anger,0
56,@Jamiebower first second on #WillTNT is music to my ears 馃槶鉂わ笍 #shaking #missedyou,fear,0
57,why everyone leaves me alone,Depression,1
58,My parents think I cut myself to manipulate them 馃槩,Depression,1
59,#Eclipe2017 An eclipse carries a large jolt of #energy. This one cut a wide swath across the United States. #Change #excitement #transition,joy,0
60,"I've never been happier. I'm laying awake as I watch @stolenmcments sleep. Thanks for making me happy again, babe.",joy,0
61,Too much niggas knew where my mum lived so we moved her out 馃槉 definitely one of the best feelings recently lol,joy,0
62,I'm actually so incredibly happy that my soul and by body connected and I'm able to have amazing time while living on this planet.Grateful馃檹馃徏,joy,0
63,This rain had me dancing in the street #rejoice #rejoice #thetimeofgreatsorrowisover,joy,0
64,@DebraHorrocks @Fash_Rev have some shocking stats #fashionrevolution,fear,0
65,Is it cool to be an introvert? Why everyone is acting like  depressed?  Why are people using  introvertism as a finest way to gain attention and sympathy? Stop faking yourself in social media,Depression,1
66,@joannemarie2000 hopefully you are always #smiling TY #appreciate ya,joy,0
67,@Orin_Atlantis 'I am much more cheerful when you are around',joy,0
68,It takes less #muscles to #laugh than to #frown - stops facial &amp,sadness,0
69,Bless me O friends for I've burst the bubble of #happiness &amp,joy,0
70,"@VanBluesat @infrared_rock Among them, is Hawrelak Park and the stage they have there. A great venue. #livemusic #blues",sadness,0
71,@LovinUnited That'll be Madrid throwing a huff over Morata and De Gea. Fuck them,fear,0
72,nothing better than going on holiday when the weathers grim at home,anger,0
73,Do you ever just get so excited that you're trying to sleep &amp,joy,0
74,Stop talking about yourself to others..they don鈥檛 care.,Depression,1
75,Unrealistic expectations attract disappointment. And that's what you were #disappointment #sad,sadness,1
76,"Thank you, @realDonaldTrump, for using the Afghanistan policy of #44... he was pretty smart! \n\nP.S. Do not look directly at the sun! #bad",fear,0
77,I love when gg cheering up eo. Apink rv mamamoo jjang!!!!,joy,0
78,It takes less #muscles to #laugh than to #frown - stops facial &amp,anger,0
79,@FuthieMasina Lol nah u subscrib 4 R60/pm. N pay R3 each day thus anada R90/pm. Lol stream n use de app using ur data. #smiles,joy,0
80,Heart pounding Shaking so hard Feel like the world is closing in around you Panic attacks are horrible,Depression,1
81,Nothing better than a clear head #smiles all round,joy,0
82,"Depression sucks like hell, I always manage to push through it but then it comes right back like some horrible disease. Oh well I got always got games to take my mind off it. ",Depression,1
83,had noodles for tea\nyummmmmmy\n#yum #yummy #ddlg #abdl #chgl #noodles,joy,0
84,I can't afford to be unhappy. I've made it this far and there isn't anything or anyone that's going to take my happiness away.,fear,0
85,Even my mother wanted me dead,Depression,1
86,@joerogan I looked at the eclipse without glasses and now I have x-ray vision! #awesomeness,joy,0
87,Happy birthday to me 馃槃 no I'm not lucky I'm blessed yes 馃槀,joy,0
88,"@PressSec Psalm 128:1\nA Song of Ascents. Blessed is every one who #fears the #Lord, Who #walks in His #ways.",fear,0
89,@LFC_Povey I'm enjoying this so much馃槀 they're hilarious. I've a headache from laughing... I need to stop now.,joy,0
90,A joyless faith is not one for which Jesus died. #thegospel #joy #Jesus #happiness,anger,0
91,"There are parts of you that wants the sadness. Find them out, ask them why",anger,0
92,Seek a place where I belong to- the answer is NO WHERE 馃槶,Depression,1
93,"To recreate my romantic memories, I'd just put a chip on my shoulder  #masterchefau",anger,0
94,@lukeWHC09 Hahaaa! Was fuming with that 馃槥馃槀,fear,0
95,@aegyotaetae @oyeakasha One of my favourite clips 馃槀,joy,0
96,A bit late but had to say Love You Zindagi by The Live 100 experience gave me goosebumps!Big shout to all of them! #awesomeness at its peak,joy,0
97,@keval_91 @ChopdUK Sort it out @ChopdUK,fear,0
98,I fw @ralofamgoon he don't hesitate to speak his mind,fear,0
99,"But the more symptoms you have, the stronger they are, and the longer they鈥檝e lasted鈥攖he more likely it is that you鈥檙e dealing with depression.  ",Depression,1
100,"@Karma_cutie aw, you make me smile, too.馃槈馃槝",joy,0
101,@DoubleEph Happy man.,joy,0
102,So I'm pretty sure the @Indians are the MVP of the @AllStarGame  #defense #pitching,anger,0
103,Can someone be me? I鈥檓 over being like this鈥�,Depression,1
104,@annarxbs @lolitsluan oh my lord I love you both with all of my heart. I feel so good and happy and you make it possible xx,joy,0
105,I don't know how much longer I can play stupid 馃槖馃様 #heartbroken #stupid #sadness,sadness,1
106,"Harden not your heart, as in the provocation, and as in the day of temptation in the wilderness: - Psalm 95:8 KJV",anger,0
107,I forgot the last instance i smiled,Depression,1
108,lonely....,Depression,1
109,Take #photographs of life and write them in #journals #motivation #inspiration #life  #love #inspire #smile #quotestoliveby,joy,0
110,yesterday was amazing. thank u #mtv cant wait for the #interview the #irony is 7.10 was also supposed to be my 7 yr anv. plus6yr.,sadness,0
111,"Easy day at school today; last rehearsal before the show tomorrow... #excited to play #Nancy in #Oliver, then straight into new project! 馃槏",joy,0
112,Happy bday @Dineo_Jazzz . You legit the big sister I never had 馃槍 have an amazing day dude 馃檹馃徑,joy,0
113,Don't ever frown upon someone chasing a dream. Remember you were once chasing one too. HUMILITY ......,sadness,0
114,From grass to grace by he's grace that's how nature works,Depression,1
115,"... about everything over and over again!!  it or  it. Just be quiet!!  It drains me listening to you. Then, I start getting  and . It's not worth it! I will love you from a distance and  for your . ",Depression,1
116,The after effects of raving sucks.,Depression,1
117,A fabulous evening at The Mayflower Theatre watching The Play That Goes Wrong - had us in stitches all evening #veryfunny #laughter,joy,0
118,I have always been a failure and will be,Depression,1
119,How my night is going *gets reminded to take my anti-sad meds* I wake up at 1:30 AM because my gears are grinding thinking about some complicated stuff I've been dealing with determined to figure it out. Bihhhhhh I wanna sleep.,Depression,1
120,To feel that you don't belong in this world that is so full of hate and greed and war and judgement and war and murder and bullying and apathy is starting to make much more sense to me now.   The illness lies in thinking any of the aforementioned are 鈥榥ormal鈥�.,Depression,1
121,Words are simply amazing people can twist them and make them say anything 馃槄,joy,0
122,watching that video and realizing that I've gotten uglier #depressed,sadness,1
123,"Music is so empowering. \nit can literally bring people tears, smiles, laughter, and so many emotions",joy,0
124,They leave you with so many unasked and unanswered questions.... #Grandparents #sadness #myroots #abuelitos,sadness,1
125,i'll have my own apartment and not have to sneak alcohol into my dorm room or worry about being loud #blessed,joy,0
126,鈥淚鈥檓 doing my best鈥�,Depression,1
